ID,Hyperplastic_FEATURES,JOB,AGE,,OBJEKT zuordnung,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
1,lumen krampfplasmolysenartig,,[],,[],,,,,,
1,Drüse eiförmig,,[],,[],,,,,,
1,keine Außenlumenzellen,,[],,[],,,,,,
1,Abgrenzung zu Gewebe durch Zellkernreihe,,[],,[],,,,,,
1,Zellschicht ohne Zellkerne,,[],,[],,,,,,
1,Lumen groß,,[],,[],,,,,,
1,dünne Zellwände,,[],,[],,,,,,
1,kleine Zellen,,[],,[],,,,,,
2,großes Lumen,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,wenige runde Kerne,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,kerne basal im Drüsengewebe,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,wenige kleine Sekretblasen,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,viel Stroma mit verschiedenen Kernen,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,lumen unregelmäßig ,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,drüse scharf abgegrenzt von stroma,Arzt  Allgemeinmedizin,[],,[],,,,,,
