ID,HEALTHY_FEATURES,JOB,AGE,DRÜSE RUND,LUMEN UNFÖRMIG,,OBJEKT zuordnung,Kategorie
1,Gänseblümchenartig,  ,24,Richtig,Falsch,,[],
1,regelmäßige Anordnung weißer Anteile,  ,24,Richtig,Falsch,,[],
1,Drüse klar abgegrenzt,  ,24,Richtig,Falsch,,['DRÜSE'],
1,Segmente kreisförmig um Mittelpunkt,  ,24,Richtig,Falsch,,[],
1,weis vor rotem Grund,  ,24,Richtig,Falsch,,[],
2,qshift,,,Richtig,Falsch,,[],
4,Blumenförmig,  ,21,Richtig,Falsch,,"['DRÜSE', 'LUMEN']",
4,Symmetrie ,  ,21,Richtig,Falsch,,[],
4,Stroma netzförmig,  ,21,Richtig,Falsch,,['STROMA'],
4,Gland boundary stabil ,  ,21,Richtig,Falsch,,['DRÜSE'],
4,Gland boundary dicker ,  ,21,Richtig,Falsch,,['DRÜSE'],
5,Normal crypt architecture,pathologe  ,35,Richtig,Falsch,,[],
5,H &E,pathologe  ,35,Richtig,Falsch,,[],
5,Basaly located nuclei,pathologe  ,35,Richtig,Falsch,,"['ZELLKERN', 'ZELLKERN']",
5,No inflammation,pathologe  ,35,Richtig,Falsch,,[],
5,Goblet cells,pathologe  ,35,Richtig,Falsch,,"['ZELLE', 'ZELLE']",
8,eosinophile Färbung,MedStudent  ,26,Richtig,Falsch,,[],
8,einschichtiges Epithel,MedStudent  ,26,Richtig,Falsch,,['ZELLE'],
8,Zellkerne,MedStudent  ,26,Richtig,Falsch,,"['ZELLKERN', 'ZELLKERN']",
8,physiologisch?,MedStudent  ,26,Richtig,Falsch,,[],
8,Becherzellen?,MedStudent  ,26,Richtig,Falsch,,['ZELLE'],
10,Sehr dunkle Drüsenbegrenzung,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,['DRÜSE'],
10,große weiße Epithelzellen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,"['ZELLE', 'ZELLE']",
10,meist runde oder ovale Formen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,[],
10,einheitliches und weißes Lumen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,['LUMEN'],
10,klar definierte Formen im Inneren der Dr,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,[],
11,blütenförmige anordnung der Lumen,  Biomedical Engineering Student,26,Richtig,Falsch,,['LUMEN'],
11,zerfurchtes Äußeres,  Biomedical Engineering Student,26,Richtig,Falsch,,[],
11,klare Trennungen,  Biomedical Engineering Student,26,Richtig,Falsch,,[],
11,Ein zentrales Lumen,  Biomedical Engineering Student,26,Richtig,Falsch,,['LUMEN'],
11,eiförmige Lumen,  Biomedical Engineering Student,26,Richtig,Falsch,,['LUMEN'],
11,klare Abtrennung durch Mucosa,  Biomedical Engineering Student,26,Richtig,Falsch,,[],
11,kreisrunde Mitte,  Biomedical Engineering Student,26,Richtig,Falsch,,[],
12,stroma unauffällig,MedStudent  8. semester,24,Richtig,Falsch,,['STROMA'],
12,keine auffälligkeiten,MedStudent  8. semester,24,Richtig,Falsch,,[],
12,geordnet,MedStudent  8. semester,24,Richtig,Falsch,,[],
12,zellen geordnet,MedStudent  8. semester,24,Richtig,Falsch,,['ZELLE'],
12,rund,MedStudent  8. semester,24,Richtig,Falsch,,[],
14,Mehrfach geteilt,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Dunkel und hell,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Blume,  Bachelor of Science ,22,Richtig,Falsch,,['DRÜSE'],
14,Faserig ,  Bachelor of Science ,22,Richtig,Falsch,,[],
14,Violett/Rosa,  Bachelor of Science ,22,Richtig,Falsch,,[],
15,Drüse mit vielen Drüsengängen,  ,22,Richtig,Richtig,,['DRÜSE'],
15,Lumen locker,  ,22,Richtig,Richtig,,['LUMEN'],
15,Gesunde Drüse,  ,22,Richtig,Richtig,,['DRÜSE'],
15,Lumen löchrig,  ,22,Richtig,Richtig,,['LUMEN'],
15,Drüse Blumenförmig,  ,22,Richtig,Richtig,,"['DRÜSE', 'DRÜSE', 'LUMEN']",
16,Kreisform mittig,  Architektur,25,Richtig,Richtig,,[],
16,Blume,  Architektur,25,Richtig,Richtig,,['DRÜSE'],
16,Kreisform außen,  Architektur,25,Richtig,Richtig,,[],
16,mit kreisähnlichen Formen gefüllter Ring,  Architektur,25,Richtig,Richtig,,[],
16,eindeutiges Zentrum,  Architektur,25,Richtig,Richtig,,[],
17,mindestens 10 Zellen sichtbar,  Physiotherapeutin,26,Richtig,Falsch,,['ZELLE'],
17,Zellen sind klar abgrenzbar,  Physiotherapeutin,26,Richtig,Falsch,,['ZELLE'],
17,Zellen sind annähernd gleich groß,  Physiotherapeutin,26,Richtig,Falsch,,['ZELLE'],
17,klare Drüsenwand,  Physiotherapeutin,26,Richtig,Falsch,,['DRÜSE'],
17,sternförmige Anordnung der Zellen,  Physiotherapeutin,26,Richtig,Falsch,,['ZELLE'],
